,env,batch_size,use_target,num_hidden,learn_rate,memory_size,discount_factor,run,scores,l2_norms,maxQs,soft_convergence_thresh
0,CartPole-v1,64,250,128,0.001,64,0.8,0,"[9.0, 10.0, 10.0, 8.0, 10.0, 9.0, 9.0, 10.0, 10.0, 9.0]","[tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4668), tensor(7.4805), tensor(7.4960), tensor(7.5027)]","[None, None, None, None, None, None, None, 1.1033656597137451, 1.667760968208313, 1.8969131708145142]",5.000000000000001
1,CartPole-v1,64,250,128,0.001,5000,0.8,0,"[9.0, 10.0, 10.0, 8.0, 10.0, 9.0, 9.0, 10.0, 10.0, 9.0]","[tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4668), tensor(7.4800), tensor(7.4955), tensor(7.5019)]","[None, None, None, None, None, None, None, 1.1027617454528809, 1.6907093524932861, 1.9245060682296753]",5.000000000000001
2,CartPole-v1,64,250,128,0.001,10000,0.8,0,"[9.0, 10.0, 10.0, 8.0, 10.0, 9.0, 9.0, 10.0, 10.0, 9.0]","[tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4668), tensor(7.4800), tensor(7.4955), tensor(7.5019)]","[None, None, None, None, None, None, None, 1.1027617454528809, 1.6907093524932861, 1.9245060682296753]",5.000000000000001
3,CartPole-v1,64,250,128,0.001,20000,0.8,0,"[9.0, 10.0, 10.0, 8.0, 10.0, 9.0, 9.0, 10.0, 10.0, 9.0]","[tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4668), tensor(7.4800), tensor(7.4955), tensor(7.5019)]","[None, None, None, None, None, None, None, 1.1027617454528809, 1.6907093524932861, 1.9245060682296753]",5.000000000000001
4,CartPole-v1,64,250,128,0.001,64,0.8,0,"[9.0, 10.0, 10.0, 8.0, 10.0, 9.0, 9.0, 10.0, 10.0, 9.0]","[tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4668), tensor(7.4805), tensor(7.4960), tensor(7.5027)]","[None, None, None, None, None, None, None, 1.1033656597137451, 1.667760968208313, 1.8969131708145142]",5.000000000000001
5,CartPole-v1,64,250,128,0.001,5000,0.8,0,"[9.0, 10.0, 10.0, 8.0, 10.0, 9.0, 9.0, 10.0, 10.0, 9.0]","[tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4668), tensor(7.4800), tensor(7.4955), tensor(7.5019)]","[None, None, None, None, None, None, None, 1.1027617454528809, 1.6907093524932861, 1.9245060682296753]",5.000000000000001
6,CartPole-v1,64,250,128,0.001,10000,0.8,0,"[9.0, 10.0, 10.0, 8.0, 10.0, 9.0, 9.0, 10.0, 10.0, 9.0]","[tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4668), tensor(7.4800), tensor(7.4955), tensor(7.5019)]","[None, None, None, None, None, None, None, 1.1027617454528809, 1.6907093524932861, 1.9245060682296753]",5.000000000000001
7,CartPole-v1,64,250,128,0.001,20000,0.8,0,"[9.0, 10.0, 10.0, 8.0, 10.0, 9.0, 9.0, 10.0, 10.0, 9.0]","[tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4658), tensor(7.4668), tensor(7.4800), tensor(7.4955), tensor(7.5019)]","[None, None, None, None, None, None, None, 1.1027617454528809, 1.6907093524932861, 1.9245060682296753]",5.000000000000001
8,CartPole-v1,64,250,128,0.001,64,0.8,1,"[89.0, 54.0, 15.0, 11.0, 8.0, 9.0, 10.0, 8.0, 9.0, 9.0]","[tensor(7.3120), tensor(7.5108), tensor(7.4932), tensor(7.4781), tensor(7.4697), tensor(7.4654), tensor(7.4703), tensor(7.4798), tensor(7.4944), tensor(7.5133)]","[None, 2.072571277618408, 2.0666873455047607, 2.1377105712890625, 2.3899383544921875, 2.6175713539123535, 2.538691282272339, 2.332555055618286, 2.3050453662872314, 2.112300395965576]",5.000000000000001
9,CartPole-v1,64,250,128,0.001,5000,0.8,1,"[89.0, 55.0, 15.0, 12.0, 10.0, 9.0, 10.0, 9.0, 11.0, 9.0]","[tensor(7.3126), tensor(7.5193), tensor(7.5135), tensor(7.5006), tensor(7.4910), tensor(7.4862), tensor(7.4870), tensor(7.4918), tensor(7.5019), tensor(7.5065)]","[None, 2.0015311241149902, 1.9949665069580078, 2.090240478515625, 2.343864679336548, 2.4081735610961914, 2.706509590148926, 2.5226645469665527, 2.3420233726501465, 2.3519206047058105]",5.000000000000001
